taxonomy;organism;record_id
Viridiplantae;Beilschmiedia percoriacea;MH093684.1
Viridiplantae;Alseodaphnopsis rugosa;MH093683.1
Viridiplantae;Alseodaphnopsis petiolaris;MH093682.1
Viridiplantae;Alseodaphnopsis andersonii;MH093681.1
Viridiplantae;Actinodaphne obovata;MH093680.1
Viridiplantae;Actinodaphne henryi;MH093679.1
Viridiplantae;Urochondra setulosa;MK204492.1
Viridiplantae;Cynomorium coccineum subsp. coccineum;MH639080.1
Viridiplantae;Tamarix ramosissima;MH639078.1
Viridiplantae;Salsola montana;MH639077.1
Viridiplantae;Atriplex portulacoides;MH639076.1
Viridiplantae;Nepenthes khasiana;KY245901.1
Viridiplantae;Utricularia furcellata;KY290635.1
Viridiplantae;Utricularia striatula;KY290634.1
Viridiplantae;Utricularia bifida;KY290633.1
Viridiplantae;Drosera burmannii;KY290632.1
Viridiplantae;Drosera peltata;KY288063.1
Viridiplantae;uncultured Chlorophyta;LC137893.1
Viridiplantae;Rubus coreanus;HQ731508.1
Viridiplantae;Zea mays;AF542203.1
Viridiplantae;Poaceae environmental sample;LN624572.1
Viridiplantae;Fabaceae environmental sample;LN624531.1
Viridiplantae;Chlorophyta sp. MBTD-CMFRI-S083;KM202121.1
Viridiplantae;Nannochloris sp. MBTD-CMFRI-S048;KM202120.1
Viridiplantae;Chlorella sp. MBTD-CMFRI-S026;KM202119.1
Viridiplantae;Salix glauca;KM001944.1
Viridiplantae;Salix glauca x Salix brachycarpa;KM001943.1
Viridiplantae;Salix alaxensis;KM001941.1
Viridiplantae;Salix arctica;KM001939.1
Viridiplantae;Salix serissima;KM001938.1
Viridiplantae;Salix lucida;KM001937.1
Viridiplantae;Salix pseudomonticola;KM001935.1
Viridiplantae;Salix candida;KM001933.1
Viridiplantae;Salix eriocephala;KM001932.1
Viridiplantae;Salix interior x Salix petiolaris;KM001931.1
Viridiplantae;Salix petiolaris;KM001930.1
Viridiplantae;Salix interior x Salix eriocephala;KM001929.1
Viridiplantae;Salix sitchensis;KM001928.1
Viridiplantae;Salix sp. D DMP-2014;KM001927.1
Viridiplantae;Salix sp. C DMP-2014;KM001926.1
Viridiplantae;Salix nakamurana;KM001925.1
Viridiplantae;Salix lasiandra;KM001924.1
Viridiplantae;Salix nivalis;KM001921.1
Viridiplantae;Salix bebbiana;KM001919.1
Viridiplantae;Salix pseudomyrsinites;KM001917.1
Viridiplantae;Salix discolor;KM001915.1
Viridiplantae;Citrus sinensis;KF933043.1
Viridiplantae;Viburnum opulus;EU701269.1
Viridiplantae;Viburnum lentago;EU701268.1
Viridiplantae;Viburnum acerifolium;EU701266.1
Viridiplantae;Typha latifolia;EU701264.1
Viridiplantae;Typha angustifolia;EU701262.1
Viridiplantae;Trifolium repens;EU701260.1
Viridiplantae;Trifolium pratense;EU701259.1
Viridiplantae;Symphyotrichum urophyllum;EU701256.1
Viridiplantae;Symphyotrichum pilosum var. pilosum;EU701254.1
Viridiplantae;Symphyotrichum novae-angliae;EU701252.1
Viridiplantae;Symphyotrichum lateriflorum;EU701251.1
Viridiplantae;Symphyotrichum lanceolatum var. latifolium;EU701250.1
Viridiplantae;Symphyotrichum lanceolatum;EU701249.1
Viridiplantae;Symphyotrichum ericoides;EU701248.1
Viridiplantae;Symphyotrichum ciliolatum;EU701247.1
Viridiplantae;Sonchus oleraceus;EU701246.1
